HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF02,FF09,"FF09 -> FF02",A9081C7709CF4F3C,0,3,[FF0A],[],[],497
FF04,FF09,"FF09 -> FF04",AF081C7709CF4F3C,1,0,[FF06],[AA0C],[],346
FF0A,FF02,"FF09 -> FF02 -> FF0A",A108177709CF4F3C,1,1,[FF0E],[AA09],[],429
FF06,FF04,"FF09 -> FF04 -> FF06",AD08117709CF4F3C,0,0,[],[],[],436
FF0E,FF0A,"FF09 -> FF02 -> FF0A -> FF0E",A5081F7709CF4F3C,0,0,[FF05],[],[],447
FF05,FF0E,"FF09 -> FF02 -> FF0A -> FF0E -> FF05",AE081B7709CF4F3C,1,6,[FF0F],[AA0A],[],460
FF0F,FF05,"FF09 -> FF02 -> FF0A -> FF0E -> FF05 -> FF0F",A408107709CF4F3C,0,0,[FF0C],[],[],405
FF0C,FF0F,"FF09 -> FF02 -> FF0A -> FF0E -> FF05 -> FF0F -> FF0C",A7081A7709CF4F3C,0,0,[FF03],[],[],339
FF03,FF0C,"FF09 -> FF02 -> FF0A -> FF0E -> FF05 -> FF0F -> FF0C -> FF03",A808197709CF4F3C,0,0,[],[],[],273
AA09,FF0A,"FF09 -> FF02 -> FF0A -> AA09",,0,0,[],[],[],238
AA0B,FF07,"FF07 -> AA0B",,0,0,[],[],[],239
AA0C,FF04,"FF09 -> FF04 -> AA0C",,0,0,[],[],[],266
AA0A,FF05,"FF09 -> FF02 -> FF0A -> FF0E -> FF05 -> AA0A",,0,0,[],[],[],285
