HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF06,FF0C,"FF0C -> FF06",AD08197709CF4F3C,1,1,[FF0A],[AA05],[],1457
FF07,FF0C,"FF0C -> FF07",AC08197709CF4F3C,0,0,[FF02],[],[],1466
FF02,FF07,"FF0C -> FF07 -> FF02",A908127709CF4F3C,0,0,[FF04],[],[],1479
FF0A,FF06,"FF0C -> FF06 -> FF0A",A108137709CF4F3C,0,0,[FF09],[],[],1487
FF09,FF0A,"FF0C -> FF06 -> FF0A -> FF09",A2081F7709CF4F3C,0,0,[FF0E],[],[],1444
FF0E,FF09,"FF0C -> FF06 -> FF0A -> FF09 -> FF0E",A5081C7709CF4F3C,0,0,[FF01],[],[],1433
FF01,FF0E,"FF0C -> FF06 -> FF0A -> FF09 -> FF0E -> FF01",AA081B7709CF4F3C,0,16,[],[],[],1366
AA05,FF06,"FF0C -> FF06 -> AA05",,0,0,[],[],[],226
FF04,FF02,"FF0C -> FF07 -> FF02 -> FF04",AF08177709CF4F3C,1,12,[FF03],[AA06],[],1438
FF08,FF03,"FF0C -> FF07 -> FF02 -> FF04 -> FF03 -> FF08",A308167709CF4F3C,0,8,[],[],[],1323
FF03,FF04,"FF0C -> FF07 -> FF02 -> FF04 -> FF03",A808117709CF4F3C,1,12,[FF08],[AA04],[],1468
AA03,FF0D,"FF0D -> AA03",,0,0,[],[],[],501
AA04,FF03,"FF0C -> FF07 -> FF02 -> FF04 -> FF03 -> AA04",,0,0,[],[],[],507
AA06,FF04,"FF0C -> FF07 -> FF02 -> FF04 -> AA06",,0,0,[],[],[],556
