HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF0A,FF03,"FF03 -> FF0A",A108167709CF4F3C,0,0,[FF08],[],[],497
FF0C,FF03,"FF03 -> FF0C",A708167709CF4F3C,0,0,[FF07],[],[],434
FF08,FF0A,"FF03 -> FF0A -> FF08",A3081F7709CF4F3C,0,0,[FF01],[],[],429
FF07,FF0C,"FF03 -> FF0C -> FF07",AC08197709CF4F3C,0,1,[FF05],[],[],447
FF01,FF08,"FF03 -> FF0A -> FF08 -> FF01",AA081D7709CF4F3C,2,1,[FF0B],[AA05;AA03],[],448
FF0B,FF01,"FF03 -> FF0A -> FF08 -> FF01 -> FF0B",A008147709CF4F3C,1,1,[FF02],[AA07],[],459
FF02,FF0B,"FF03 -> FF0A -> FF08 -> FF01 -> FF0B -> FF02",A9081E7709CF4F3C,0,0,[FF06],[],[],472
FF09,FF05,"FF03 -> FF0C -> FF07 -> FF05 -> FF09",A208107709CF4F3C,0,0,[FF04],[],[],471
FF04,FF09,"FF03 -> FF0C -> FF07 -> FF05 -> FF09 -> FF04",AF081C7709CF4F3C,1,3,[],[AA01],[],399
FF06,FF02,"FF03 -> FF0A -> FF08 -> FF01 -> FF0B -> FF02 -> FF06",AD08177709CF4F3C,1,8,[],[AA01],[],483
AA01,FF06,"FF03 -> FF0A -> FF08 -> FF01 -> FF0B -> FF02 -> FF06 -> AA01",,0,0,[],[],[],244
AA07,FF0B,"FF03 -> FF0A -> FF08 -> FF01 -> FF0B -> AA07",,0,0,[],[],[],249
FF05,FF07,"FF03 -> FF0C -> FF07 -> FF05",AE08127709CF4F3C,0,3,[FF09],[],[],375
AA05,FF01,"FF03 -> FF0A -> FF08 -> FF01 -> AA05",,0,0,[],[],[],369
AA03,FF01,"FF03 -> FF0A -> FF08 -> FF01 -> AA03",,0,0,[],[],[],369
