HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF0A,FF0B,"FF0B -> FF0A",A1081E7709CF4F3C,1,0,[FF03],[AA01],[],497
FF01,FF0B,"FF0B -> FF01",AA081E7709CF4F3C,0,1,[FF02],[],[],441
FF03,FF0A,"FF0B -> FF0A -> FF03",A8081F7709CF4F3C,0,1,[],[],[],429
FF02,FF01,"FF0B -> FF01 -> FF02",A908147709CF4F3C,0,0,[FF09],[],[],371
FF09,FF02,"FF0B -> FF01 -> FF02 -> FF09",A208177709CF4F3C,0,0,[FF04],[],[],465
AA01,FF0A,"FF0B -> FF0A -> AA01",,0,0,[],[],[],219
FF04,FF09,"FF0B -> FF01 -> FF02 -> FF09 -> FF04",AF081C7709CF4F3C,0,0,[FF07],[],[],423
FF07,FF04,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07",AC08117709CF4F3C,0,0,[],[],[],406
FF0D,FF06,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06 -> FF0D",A608137709CF4F3C,0,0,[],[],[],430
FF0C,FF0D,"FF06 -> FF0D -> FF0C",A708187709CF4F3C,0,1,[],[],[],459
FF08,FF05,"FF06 -> FF0D -> FF0C -> FF05 -> FF08",A308107709CF4F3C,0,0,[],[],[],477
FF05,FF0C,"FF06 -> FF0D -> FF0C -> FF05",AE08197709CF4F3C,0,1,[FF08],[],[],489
FF06,FF07,"FF0B -> FF01 -> FF02 -> FF09 -> FF04 -> FF07 -> FF06",AD08127709CF4F3C,0,4,[FF0D],[],[],490
