HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF0C,FF0E,"FF0E -> FF0C",A7081B7709CF4F3C,0,0,[FF05],[],[],177
FF01,FF0E,"FF0E -> FF01",AA081B7709CF4F3C,0,0,[FF0D],[],[],194
FF05,FF0C,"FF0E -> FF0C -> FF05",AE08197709CF4F3C,0,0,[FF08],[],[],208
FF0D,FF01,"FF0E -> FF01 -> FF0D",A608147709CF4F3C,0,0,[],[],[],93
FF08,FF05,"FF0E -> FF0C -> FF05 -> FF08",A308107709CF4F3C,0,0,[FF0A],[],[],219
FF0A,FF08,"FF0E -> FF0C -> FF05 -> FF08 -> FF0A",A1081D7709CF4F3C,0,0,[FF06],[],[],231
FF06,FF0A,"FF0E -> FF0C -> FF05 -> FF08 -> FF0A -> FF06",AD081F7709CF4F3C,1,0,[FF09],[AA01],[],245
FF09,FF06,"FF0E -> FF0C -> FF05 -> FF08 -> FF0A -> FF06 -> FF09",A208137709CF4F3C,0,0,[FF02],[],[],239
FF02,FF09,"FF0E -> FF0C -> FF05 -> FF08 -> FF0A -> FF06 -> FF09 -> FF02",A9081C7709CF4F3C,0,0,[FF03],[],[],249
FF03,FF02,"FF0E -> FF0C -> FF05 -> FF08 -> FF0A -> FF06 -> FF09 -> FF02 -> FF03",A808177709CF4F3C,0,0,[],[],[],244
AA01,FF06,"FF0E -> FF0C -> FF05 -> FF08 -> FF0A -> FF06 -> AA01",,0,0,[],[],[],245
