HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF06,FF0D,"FF0D -> FF06",AD08187709CF4F3C,0,0,[FF0C],[],[],177
FF05,FF0D,"FF0D -> FF05",AE08187709CF4F3C,0,0,[FF08],[],[],186
FF0C,FF06,"FF0D -> FF06 -> FF0C",A708137709CF4F3C,0,0,[FF04],[],[],208
FF08,FF05,"FF0D -> FF05 -> FF08",A308107709CF4F3C,0,0,[FF07],[],[],203
FF07,FF08,"FF0D -> FF05 -> FF08 -> FF07",,0,0,[],[],[],203
FF04,FF0C,"FF0D -> FF06 -> FF0C -> FF04",AF08197709CF4F3C,0,0,[FF0B],[],[],214
FF0B,FF04,"FF0D -> FF06 -> FF0C -> FF04 -> FF0B",A008117709CF4F3C,0,0,[FF02],[],[],243
FF02,FF0B,"FF0D -> FF06 -> FF0C -> FF04 -> FF0B -> FF02",A9081E7709CF4F3C,0,0,[],[],[],225
FF03,FF0A,"FF0A -> FF03",A8081F7709CF4F3C,0,0,[FF01],[],[],232
FF01,FF03,"FF0A -> FF03 -> FF01",AA08167709CF4F3C,0,0,[FF09],[],[],239
FF09,FF01,"FF0A -> FF03 -> FF01 -> FF09",A208147709CF4F3C,0,0,[FF0E],[],[],249
FF0E,FF09,"FF0A -> FF03 -> FF01 -> FF09 -> FF0E",A5081C7709CF4F3C,0,0,[],[],[],244
