HexID,Parent,Route,LocalKey,CHCount,SNCount,GWChildren,CHChildren,SecondaryChildren,LastUpdate
FF06,FF0D,"FF0D -> FF06",AD08187709CF4F3C,0,3,[FF0C],[],[],497
FF05,FF0D,"FF0D -> FF05",AE08187709CF4F3C,0,1,[FF08],[],[],426
FF0C,FF06,"FF0D -> FF06 -> FF0C",A708137709CF4F3C,0,0,[FF04],[],[],429
FF08,FF05,"FF0D -> FF05 -> FF08",A308107709CF4F3C,1,0,[FF07],[AA05],[],437
FF07,FF08,"FF0D -> FF05 -> FF08 -> FF07",AC081D7709CF4F3C,0,0,[FF0A],[],[],448
FF04,FF0C,"FF0D -> FF06 -> FF0C -> FF04",AF08197709CF4F3C,0,1,[FF0B],[],[],471
FF0B,FF04,"FF0D -> FF06 -> FF0C -> FF04 -> FF0B",A008117709CF4F3C,0,1,[FF02],[],[],405
FF02,FF0B,"FF0D -> FF06 -> FF0C -> FF04 -> FF0B -> FF02",A9081E7709CF4F3C,0,0,[],[],[],351
FF03,FF0A,"FF0D -> FF05 -> FF08 -> FF07 -> FF0A -> FF03",A8081F7709CF4F3C,0,0,[FF01],[],[],393
FF01,FF03,"FF0D -> FF05 -> FF08 -> FF07 -> FF0A -> FF03 -> FF01",AA08167709CF4F3C,0,0,[FF09],[],[],484
FF09,FF01,"FF0D -> FF05 -> FF08 -> FF07 -> FF0A -> FF03 -> FF01 -> FF09",A208147709CF4F3C,0,0,[FF0E],[],[],496
FF0E,FF09,"FF0D -> FF05 -> FF08 -> FF07 -> FF0A -> FF03 -> FF01 -> FF09 -> FF0E",A5081C7709CF4F3C,0,0,[],[],[],255
AA05,FF08,"FF0D -> FF05 -> FF08 -> AA05",,0,0,[],[],[],279
FF0A,FF07,"FF0D -> FF05 -> FF08 -> FF07 -> FF0A",A108127709CF4F3C,0,0,[FF03],[],[],461
